
SearchServletTotalExecutionTime:1164578,JDBCExecutionTime:588232
SearchServletTotalExecutionTime:1037304,JDBCExecutionTime:521925
SearchServletTotalExecutionTime:1213314,JDBCExecutionTime:610441
SearchServletTotalExecutionTime:838742,JDBCExecutionTime:313944
SearchServletTotalExecutionTime:1077006,JDBCExecutionTime:546411
SearchServletTotalExecutionTime:768565,JDBCExecutionTime:341884
SearchServletTotalExecutionTime:1060730,JDBCExecutionTime:490027
SearchServletTotalExecutionTime:1442682,JDBCExecutionTime:661280
SearchServletTotalExecutionTime:1702819,JDBCExecutionTime:771322
SearchServletTotalExecutionTime:1421243,JDBCExecutionTime:771322
SearchServletTotalExecutionTime:1283179,JDBCExecutionTime:658575
SearchServletTotalExecutionTime:789354,JDBCExecutionTime:344198
SearchServletTotalExecutionTime:2065784,JDBCExecutionTime:1998057
SearchServletTotalExecutionTime:2798737,JDBCExecutionTime:1998057
SearchServletTotalExecutionTime:3024139,JDBCExecutionTime:2193534
SearchServletTotalExecutionTime:4019177,JDBCExecutionTime:1621190
SearchServletTotalExecutionTime:2599959,JDBCExecutionTime:1621190
SearchServletTotalExecutionTime:1176449,JDBCExecutionTime:621654
SearchServletTotalExecutionTime:22141282,JDBCExecutionTime:20842311
SearchServletTotalExecutionTime:2086879,JDBCExecutionTime:1626026
SearchServletTotalExecutionTime:2288299,JDBCExecutionTime:1626026
SearchServletTotalExecutionTime:2892263,JDBCExecutionTime:1626026
SearchServletTotalExecutionTime:4141631,JDBCExecutionTime:3655724
SearchServletTotalExecutionTime:978744,JDBCExecutionTime:502902
SearchServletTotalExecutionTime:923448,JDBCExecutionTime:388825
SearchServletTotalExecutionTime:1332343,JDBCExecutionTime:879561
SearchServletTotalExecutionTime:1427139,JDBCExecutionTime:1021783
SearchServletTotalExecutionTime:2952127,JDBCExecutionTime:2450358
SearchServletTotalExecutionTime:2164135,JDBCExecutionTime:1781680
SearchServletTotalExecutionTime:2499235,JDBCExecutionTime:1781680
SearchServletTotalExecutionTime:2884357,JDBCExecutionTime:1781680
SearchServletTotalExecutionTime:4165794,JDBCExecutionTime:3709077
SearchServletTotalExecutionTime:849134,JDBCExecutionTime:348990
SearchServletTotalExecutionTime:1542073,JDBCExecutionTime:1018720
SearchServletTotalExecutionTime:2259256,JDBCExecutionTime:1018720
SearchServletTotalExecutionTime:3345876,JDBCExecutionTime:2825679
SearchServletTotalExecutionTime:691066,JDBCExecutionTime:311860
SearchServletTotalExecutionTime:1727262,JDBCExecutionTime:1213104
SearchServletTotalExecutionTime:1939662,JDBCExecutionTime:1483145
SearchServletTotalExecutionTime:2304827,JDBCExecutionTime:1483145
SearchServletTotalExecutionTime:2760266,JDBCExecutionTime:1483145
SearchServletTotalExecutionTime:4297461,JDBCExecutionTime:3771549
SearchServletTotalExecutionTime:746947,JDBCExecutionTime:312617
SearchServletTotalExecutionTime:1050504,JDBCExecutionTime:523099
SearchServletTotalExecutionTime:2106534,JDBCExecutionTime:1624821
SearchServletTotalExecutionTime:1804831,JDBCExecutionTime:1296587
SearchServletTotalExecutionTime:876897,JDBCExecutionTime:388771
SearchServletTotalExecutionTime:1757073,JDBCExecutionTime:1350579
SearchServletTotalExecutionTime:8899301,JDBCExecutionTime:8302751
SearchServletTotalExecutionTime:14718551,JDBCExecutionTime:13897226
SearchServletTotalExecutionTime:1230018,JDBCExecutionTime:810234
SearchServletTotalExecutionTime:1942562,JDBCExecutionTime:810234
SearchServletTotalExecutionTime:2937378,JDBCExecutionTime:2453507
SearchServletTotalExecutionTime:1011112,JDBCExecutionTime:498318
SearchServletTotalExecutionTime:1074005,JDBCExecutionTime:524922
SearchServletTotalExecutionTime:2242987,JDBCExecutionTime:1686689
SearchServletTotalExecutionTime:7632073,JDBCExecutionTime:4097145
SearchServletTotalExecutionTime:4752132,JDBCExecutionTime:4097145
SearchServletTotalExecutionTime:1224338,JDBCExecutionTime:648769
SearchServletTotalExecutionTime:925746,JDBCExecutionTime:409442
SearchServletTotalExecutionTime:1687451,JDBCExecutionTime:1430808
SearchServletTotalExecutionTime:2644309,JDBCExecutionTime:2683031
SearchServletTotalExecutionTime:3361776,JDBCExecutionTime:2683031
SearchServletTotalExecutionTime:1093734,JDBCExecutionTime:472396
SearchServletTotalExecutionTime:1681975,JDBCExecutionTime:821935
SearchServletTotalExecutionTime:2817925,JDBCExecutionTime:1561760
SearchServletTotalExecutionTime:2744966,JDBCExecutionTime:1561760
SearchServletTotalExecutionTime:2985897,JDBCExecutionTime:1561760
SearchServletTotalExecutionTime:1185406,JDBCExecutionTime:585829
SearchServletTotalExecutionTime:2160085,JDBCExecutionTime:1647175
SearchServletTotalExecutionTime:2468841,JDBCExecutionTime:1647175
SearchServletTotalExecutionTime:3453820,JDBCExecutionTime:1647175
SearchServletTotalExecutionTime:3997714,JDBCExecutionTime:3457557
SearchServletTotalExecutionTime:1298546,JDBCExecutionTime:870865
SearchServletTotalExecutionTime:1157868,JDBCExecutionTime:600322
SearchServletTotalExecutionTime:2232287,JDBCExecutionTime:1706689
SearchServletTotalExecutionTime:3294755,JDBCExecutionTime:2795423
SearchServletTotalExecutionTime:843460,JDBCExecutionTime:350966
SearchServletTotalExecutionTime:891123,JDBCExecutionTime:370138
SearchServletTotalExecutionTime:1492245,JDBCExecutionTime:1034265
SearchServletTotalExecutionTime:1953076,JDBCExecutionTime:1034265
SearchServletTotalExecutionTime:3239466,JDBCExecutionTime:2688106
SearchServletTotalExecutionTime:750297,JDBCExecutionTime:288106
SearchServletTotalExecutionTime:903274,JDBCExecutionTime:374881
SearchServletTotalExecutionTime:1053401,JDBCExecutionTime:531990
SearchServletTotalExecutionTime:2199885,JDBCExecutionTime:1663009
SearchServletTotalExecutionTime:802749,JDBCExecutionTime:348232
SearchServletTotalExecutionTime:770853,JDBCExecutionTime:311757
SearchServletTotalExecutionTime:1624082,JDBCExecutionTime:1209238
SearchServletTotalExecutionTime:1943847,JDBCExecutionTime:2066478
SearchServletTotalExecutionTime:3189061,JDBCExecutionTime:2066478
SearchServletTotalExecutionTime:3566406,JDBCExecutionTime:2066478
SearchServletTotalExecutionTime:4075656,JDBCExecutionTime:2066478
SearchServletTotalExecutionTime:5397024,JDBCExecutionTime:4820652
SearchServletTotalExecutionTime:1331468,JDBCExecutionTime:640990
SearchServletTotalExecutionTime:1265346,JDBCExecutionTime:741409
SearchServletTotalExecutionTime:1679684,JDBCExecutionTime:741409
SearchServletTotalExecutionTime:2941597,JDBCExecutionTime:2357869
SearchServletTotalExecutionTime:680739,JDBCExecutionTime:279291
SearchServletTotalExecutionTime:2171993,JDBCExecutionTime:1629958
SearchServletTotalExecutionTime:2977545,JDBCExecutionTime:1629958
SearchServletTotalExecutionTime:3324776,JDBCExecutionTime:1629958
SearchServletTotalExecutionTime:4027238,JDBCExecutionTime:1629958
SearchServletTotalExecutionTime:5112150,JDBCExecutionTime:4573713
SearchServletTotalExecutionTime:1886840,JDBCExecutionTime:1092964
SearchServletTotalExecutionTime:2601292,JDBCExecutionTime:1092964
SearchServletTotalExecutionTime:3201254,JDBCExecutionTime:1092964
SearchServletTotalExecutionTime:2078839,JDBCExecutionTime:1569594
SearchServletTotalExecutionTime:5564582,JDBCExecutionTime:1569594
SearchServletTotalExecutionTime:1132037,JDBCExecutionTime:586067
SearchServletTotalExecutionTime:844053,JDBCExecutionTime:357990
SearchServletTotalExecutionTime:3997895,JDBCExecutionTime:1654444
SearchServletTotalExecutionTime:2983389,JDBCExecutionTime:1654444
SearchServletTotalExecutionTime:6288708,JDBCExecutionTime:5572559
SearchServletTotalExecutionTime:1411582,JDBCExecutionTime:689072
SearchServletTotalExecutionTime:1935069,JDBCExecutionTime:1167173
SearchServletTotalExecutionTime:2321555,JDBCExecutionTime:1167173
SearchServletTotalExecutionTime:1314780,JDBCExecutionTime:742001
SearchServletTotalExecutionTime:1894392,JDBCExecutionTime:742001
SearchServletTotalExecutionTime:1352157,JDBCExecutionTime:628414
SearchServletTotalExecutionTime:949223,JDBCExecutionTime:421347
SearchServletTotalExecutionTime:1878275,JDBCExecutionTime:1396872
SearchServletTotalExecutionTime:864192,JDBCExecutionTime:374457
SearchServletTotalExecutionTime:1934183,JDBCExecutionTime:1406273
SearchServletTotalExecutionTime:2963176,JDBCExecutionTime:1475134
SearchServletTotalExecutionTime:2510053,JDBCExecutionTime:1475134
SearchServletTotalExecutionTime:4166491,JDBCExecutionTime:1475134
SearchServletTotalExecutionTime:4359066,JDBCExecutionTime:1475134
SearchServletTotalExecutionTime:6142200,JDBCExecutionTime:1475134
SearchServletTotalExecutionTime:1912579,JDBCExecutionTime:778071
SearchServletTotalExecutionTime:2232515,JDBCExecutionTime:778071
SearchServletTotalExecutionTime:3452278,JDBCExecutionTime:2906184
SearchServletTotalExecutionTime:5573022,JDBCExecutionTime:5039400
SearchServletTotalExecutionTime:8149786,JDBCExecutionTime:7504359
SearchServletTotalExecutionTime:1117809,JDBCExecutionTime:567758
SearchServletTotalExecutionTime:3515411,JDBCExecutionTime:3030907
SearchServletTotalExecutionTime:3561569,JDBCExecutionTime:3030907
SearchServletTotalExecutionTime:4783773,JDBCExecutionTime:3030907
SearchServletTotalExecutionTime:5802238,JDBCExecutionTime:5301112
SearchServletTotalExecutionTime:1830999,JDBCExecutionTime:672478
SearchServletTotalExecutionTime:2537923,JDBCExecutionTime:2001186
SearchServletTotalExecutionTime:875173,JDBCExecutionTime:367470
SearchServletTotalExecutionTime:2431803,JDBCExecutionTime:1914592
SearchServletTotalExecutionTime:6941632,JDBCExecutionTime:6365078
SearchServletTotalExecutionTime:2395599,JDBCExecutionTime:1541455
SearchServletTotalExecutionTime:4561792,JDBCExecutionTime:3988139
SearchServletTotalExecutionTime:7929902,JDBCExecutionTime:7507665
SearchServletTotalExecutionTime:8607282,JDBCExecutionTime:7507665
SearchServletTotalExecutionTime:11529434,JDBCExecutionTime:10921315
SearchServletTotalExecutionTime:1800855,JDBCExecutionTime:1273389
SearchServletTotalExecutionTime:2892651,JDBCExecutionTime:2345265
SearchServletTotalExecutionTime:3966445,JDBCExecutionTime:3439144
SearchServletTotalExecutionTime:5711612,JDBCExecutionTime:5084335
SearchServletTotalExecutionTime:1327339,JDBCExecutionTime:791060
SearchServletTotalExecutionTime:4122414,JDBCExecutionTime:3009208
SearchServletTotalExecutionTime:4429107,JDBCExecutionTime:3009208
SearchServletTotalExecutionTime:5280043,JDBCExecutionTime:4616053
SearchServletTotalExecutionTime:2647615,JDBCExecutionTime:2136834
SearchServletTotalExecutionTime:8847512,JDBCExecutionTime:8232866
SearchServletTotalExecutionTime:2082002,JDBCExecutionTime:1314971
SearchServletTotalExecutionTime:3175972,JDBCExecutionTime:2590599
SearchServletTotalExecutionTime:4900718,JDBCExecutionTime:4670649
SearchServletTotalExecutionTime:5503700,JDBCExecutionTime:4670649
SearchServletTotalExecutionTime:7470622,JDBCExecutionTime:6908216
SearchServletTotalExecutionTime:2289524,JDBCExecutionTime:1170963
SearchServletTotalExecutionTime:3644381,JDBCExecutionTime:2891247
SearchServletTotalExecutionTime:4294689,JDBCExecutionTime:2891247
SearchServletTotalExecutionTime:3778141,JDBCExecutionTime:3170935
SearchServletTotalExecutionTime:6474481,JDBCExecutionTime:5901764
SearchServletTotalExecutionTime:2562777,JDBCExecutionTime:1506553
SearchServletTotalExecutionTime:2577138,JDBCExecutionTime:1506553
SearchServletTotalExecutionTime:3246118,JDBCExecutionTime:1506553
SearchServletTotalExecutionTime:4418108,JDBCExecutionTime:3829615
SearchServletTotalExecutionTime:6067418,JDBCExecutionTime:5527548
SearchServletTotalExecutionTime:2602117,JDBCExecutionTime:1108968
SearchServletTotalExecutionTime:2911100,JDBCExecutionTime:1108968
SearchServletTotalExecutionTime:4066970,JDBCExecutionTime:3471593
SearchServletTotalExecutionTime:5500957,JDBCExecutionTime:4950769
SearchServletTotalExecutionTime:6672757,JDBCExecutionTime:6059829
SearchServletTotalExecutionTime:1116801,JDBCExecutionTime:545325
SearchServletTotalExecutionTime:1622488,JDBCExecutionTime:507094
SearchServletTotalExecutionTime:2674279,JDBCExecutionTime:2489143
SearchServletTotalExecutionTime:3507342,JDBCExecutionTime:2489143
SearchServletTotalExecutionTime:6466462,JDBCExecutionTime:2489143
SearchServletTotalExecutionTime:2253017,JDBCExecutionTime:1533934
SearchServletTotalExecutionTime:2733381,JDBCExecutionTime:1533934
SearchServletTotalExecutionTime:1245618,JDBCExecutionTime:746094
SearchServletTotalExecutionTime:9857716,JDBCExecutionTime:9050000
SearchServletTotalExecutionTime:52637142,JDBCExecutionTime:47637144
