
SearchServletTotalExecutionTime:1171367,JDBCExecutionTime:586667
SearchServletTotalExecutionTime:1137507,JDBCExecutionTime:578407
SearchServletTotalExecutionTime:1100160,JDBCExecutionTime:583102
SearchServletTotalExecutionTime:991219,JDBCExecutionTime:522748
SearchServletTotalExecutionTime:1121765,JDBCExecutionTime:584933
SearchServletTotalExecutionTime:1123287,JDBCExecutionTime:588296
SearchServletTotalExecutionTime:1048418,JDBCExecutionTime:544356
SearchServletTotalExecutionTime:1125254,JDBCExecutionTime:611313
SearchServletTotalExecutionTime:1099411,JDBCExecutionTime:550363
SearchServletTotalExecutionTime:1115813,JDBCExecutionTime:585897
SearchServletTotalExecutionTime:1145806,JDBCExecutionTime:600206
SearchServletTotalExecutionTime:1125727,JDBCExecutionTime:621326
SearchServletTotalExecutionTime:1100394,JDBCExecutionTime:545593
SearchServletTotalExecutionTime:1052906,JDBCExecutionTime:560010
SearchServletTotalExecutionTime:1208810,JDBCExecutionTime:635314
SearchServletTotalExecutionTime:1157453,JDBCExecutionTime:541068
SearchServletTotalExecutionTime:1035279,JDBCExecutionTime:572350
SearchServletTotalExecutionTime:1041122,JDBCExecutionTime:559887
SearchServletTotalExecutionTime:956629,JDBCExecutionTime:507390
SearchServletTotalExecutionTime:1058698,JDBCExecutionTime:594778
SearchServletTotalExecutionTime:1141016,JDBCExecutionTime:551405
SearchServletTotalExecutionTime:1068435,JDBCExecutionTime:553238
SearchServletTotalExecutionTime:1021933,JDBCExecutionTime:531841
SearchServletTotalExecutionTime:1135349,JDBCExecutionTime:602393
SearchServletTotalExecutionTime:1136846,JDBCExecutionTime:568730
SearchServletTotalExecutionTime:1113241,JDBCExecutionTime:603138
SearchServletTotalExecutionTime:1067627,JDBCExecutionTime:566366
SearchServletTotalExecutionTime:1039817,JDBCExecutionTime:544161
SearchServletTotalExecutionTime:1055514,JDBCExecutionTime:565514
SearchServletTotalExecutionTime:1017406,JDBCExecutionTime:535293
SearchServletTotalExecutionTime:1049860,JDBCExecutionTime:530731
SearchServletTotalExecutionTime:1037796,JDBCExecutionTime:539295
