
SearchServletTotalExecutionTime:1470078,JDBCExecutionTime:721141
SearchServletTotalExecutionTime:1398925,JDBCExecutionTime:665476
SearchServletTotalExecutionTime:2461577,JDBCExecutionTime:1815802
SearchServletTotalExecutionTime:1379796,JDBCExecutionTime:711383
SearchServletTotalExecutionTime:1354598,JDBCExecutionTime:689993
SearchServletTotalExecutionTime:1263833,JDBCExecutionTime:696020
SearchServletTotalExecutionTime:1318412,JDBCExecutionTime:702192
SearchServletTotalExecutionTime:1297232,JDBCExecutionTime:703462
SearchServletTotalExecutionTime:1314336,JDBCExecutionTime:726426
SearchServletTotalExecutionTime:2043872,JDBCExecutionTime:1382124
SearchServletTotalExecutionTime:1338390,JDBCExecutionTime:742832
SearchServletTotalExecutionTime:1310020,JDBCExecutionTime:702688
SearchServletTotalExecutionTime:1630815,JDBCExecutionTime:1024959
SearchServletTotalExecutionTime:1361820,JDBCExecutionTime:702540
SearchServletTotalExecutionTime:1286383,JDBCExecutionTime:701308
SearchServletTotalExecutionTime:1251170,JDBCExecutionTime:665592
SearchServletTotalExecutionTime:1163917,JDBCExecutionTime:640941
SearchServletTotalExecutionTime:1310155,JDBCExecutionTime:745544
SearchServletTotalExecutionTime:1369698,JDBCExecutionTime:732623
SearchServletTotalExecutionTime:1255077,JDBCExecutionTime:686166
SearchServletTotalExecutionTime:1228450,JDBCExecutionTime:661892
SearchServletTotalExecutionTime:1338456,JDBCExecutionTime:765903
SearchServletTotalExecutionTime:1318176,JDBCExecutionTime:727952
SearchServletTotalExecutionTime:1293051,JDBCExecutionTime:655398
SearchServletTotalExecutionTime:1220846,JDBCExecutionTime:670900
SearchServletTotalExecutionTime:1419505,JDBCExecutionTime:782909
SearchServletTotalExecutionTime:1342677,JDBCExecutionTime:688895
SearchServletTotalExecutionTime:1349831,JDBCExecutionTime:691310
SearchServletTotalExecutionTime:1409316,JDBCExecutionTime:758901
SearchServletTotalExecutionTime:1273632,JDBCExecutionTime:723056
SearchServletTotalExecutionTime:1306560,JDBCExecutionTime:732423
SearchServletTotalExecutionTime:1275111,JDBCExecutionTime:730676
SearchServletTotalExecutionTime:1223165,JDBCExecutionTime:668742
SearchServletTotalExecutionTime:1276170,JDBCExecutionTime:678251
SearchServletTotalExecutionTime:2580340,JDBCExecutionTime:1927476
SearchServletTotalExecutionTime:1323521,JDBCExecutionTime:686958
SearchServletTotalExecutionTime:1229722,JDBCExecutionTime:682441
SearchServletTotalExecutionTime:1252483,JDBCExecutionTime:679530
SearchServletTotalExecutionTime:1350846,JDBCExecutionTime:731990
SearchServletTotalExecutionTime:2011206,JDBCExecutionTime:1446010
SearchServletTotalExecutionTime:1208711,JDBCExecutionTime:665994
SearchServletTotalExecutionTime:1252733,JDBCExecutionTime:662198
SearchServletTotalExecutionTime:1265322,JDBCExecutionTime:720036
SearchServletTotalExecutionTime:1367380,JDBCExecutionTime:731432
SearchServletTotalExecutionTime:1299786,JDBCExecutionTime:743271
SearchServletTotalExecutionTime:1289590,JDBCExecutionTime:712320
SearchServletTotalExecutionTime:1320873,JDBCExecutionTime:697977
SearchServletTotalExecutionTime:1335485,JDBCExecutionTime:736314
SearchServletTotalExecutionTime:1373934,JDBCExecutionTime:726106
SearchServletTotalExecutionTime:1304676,JDBCExecutionTime:701344
SearchServletTotalExecutionTime:1279833,JDBCExecutionTime:677714
SearchServletTotalExecutionTime:1333519,JDBCExecutionTime:737082
SearchServletTotalExecutionTime:1257216,JDBCExecutionTime:691354
SearchServletTotalExecutionTime:1286913,JDBCExecutionTime:702354
SearchServletTotalExecutionTime:1405670,JDBCExecutionTime:799742
SearchServletTotalExecutionTime:1289907,JDBCExecutionTime:746236
SearchServletTotalExecutionTime:1281488,JDBCExecutionTime:723271
SearchServletTotalExecutionTime:1407097,JDBCExecutionTime:707587
SearchServletTotalExecutionTime:1357751,JDBCExecutionTime:742031
SearchServletTotalExecutionTime:1501151,JDBCExecutionTime:732239
SearchServletTotalExecutionTime:1339956,JDBCExecutionTime:750090
SearchServletTotalExecutionTime:1268243,JDBCExecutionTime:699725
