
SearchServletTotalExecutionTime:1133591,JDBCExecutionTime:589412
SearchServletTotalExecutionTime:1070264,JDBCExecutionTime:557687
SearchServletTotalExecutionTime:1092501,JDBCExecutionTime:560148
SearchServletTotalExecutionTime:1064423,JDBCExecutionTime:551608
SearchServletTotalExecutionTime:1089162,JDBCExecutionTime:564320
SearchServletTotalExecutionTime:1055021,JDBCExecutionTime:537099
SearchServletTotalExecutionTime:1044598,JDBCExecutionTime:530670
SearchServletTotalExecutionTime:1033471,JDBCExecutionTime:540872
SearchServletTotalExecutionTime:1059272,JDBCExecutionTime:536743
SearchServletTotalExecutionTime:1063822,JDBCExecutionTime:580860
SearchServletTotalExecutionTime:1079819,JDBCExecutionTime:549233
SearchServletTotalExecutionTime:1018059,JDBCExecutionTime:520489
SearchServletTotalExecutionTime:1076439,JDBCExecutionTime:568988
SearchServletTotalExecutionTime:1073613,JDBCExecutionTime:528614
SearchServletTotalExecutionTime:1050658,JDBCExecutionTime:544764
SearchServletTotalExecutionTime:1089778,JDBCExecutionTime:600811
SearchServletTotalExecutionTime:1210245,JDBCExecutionTime:604747
SearchServletTotalExecutionTime:1078075,JDBCExecutionTime:559223
SearchServletTotalExecutionTime:1112202,JDBCExecutionTime:588084
SearchServletTotalExecutionTime:1100729,JDBCExecutionTime:622443
SearchServletTotalExecutionTime:1030642,JDBCExecutionTime:570782
SearchServletTotalExecutionTime:1098355,JDBCExecutionTime:534182
SearchServletTotalExecutionTime:1092138,JDBCExecutionTime:555674
SearchServletTotalExecutionTime:1085394,JDBCExecutionTime:585503
SearchServletTotalExecutionTime:1027998,JDBCExecutionTime:521108
SearchServletTotalExecutionTime:1122558,JDBCExecutionTime:594159
SearchServletTotalExecutionTime:1100359,JDBCExecutionTime:518680
SearchServletTotalExecutionTime:1033629,JDBCExecutionTime:557470
SearchServletTotalExecutionTime:1089997,JDBCExecutionTime:572089
SearchServletTotalExecutionTime:1036590,JDBCExecutionTime:550232
SearchServletTotalExecutionTime:1023742,JDBCExecutionTime:546693
SearchServletTotalExecutionTime:1087196,JDBCExecutionTime:554093
SearchServletTotalExecutionTime:1093530,JDBCExecutionTime:575296
SearchServletTotalExecutionTime:1071251,JDBCExecutionTime:569425
SearchServletTotalExecutionTime:1083243,JDBCExecutionTime:542935
SearchServletTotalExecutionTime:1086104,JDBCExecutionTime:548048
SearchServletTotalExecutionTime:1166637,JDBCExecutionTime:549476
SearchServletTotalExecutionTime:1044052,JDBCExecutionTime:555574
SearchServletTotalExecutionTime:1036754,JDBCExecutionTime:540776
SearchServletTotalExecutionTime:1056790,JDBCExecutionTime:555028
SearchServletTotalExecutionTime:1069261,JDBCExecutionTime:561472
SearchServletTotalExecutionTime:1127799,JDBCExecutionTime:550330
SearchServletTotalExecutionTime:1038508,JDBCExecutionTime:550945
SearchServletTotalExecutionTime:1052922,JDBCExecutionTime:570019
SearchServletTotalExecutionTime:1092526,JDBCExecutionTime:595188
SearchServletTotalExecutionTime:1021721,JDBCExecutionTime:545301
SearchServletTotalExecutionTime:1141675,JDBCExecutionTime:552191
SearchServletTotalExecutionTime:1069653,JDBCExecutionTime:553079
SearchServletTotalExecutionTime:1051690,JDBCExecutionTime:565249
SearchServletTotalExecutionTime:1043006,JDBCExecutionTime:550213
SearchServletTotalExecutionTime:1878850,JDBCExecutionTime:547375
SearchServletTotalExecutionTime:1123107,JDBCExecutionTime:555604
SearchServletTotalExecutionTime:1091501,JDBCExecutionTime:578789
SearchServletTotalExecutionTime:1079469,JDBCExecutionTime:555874
SearchServletTotalExecutionTime:1043035,JDBCExecutionTime:548235
SearchServletTotalExecutionTime:1093070,JDBCExecutionTime:585136
SearchServletTotalExecutionTime:1125961,JDBCExecutionTime:572594
SearchServletTotalExecutionTime:1066844,JDBCExecutionTime:541801
SearchServletTotalExecutionTime:1040997,JDBCExecutionTime:555073
SearchServletTotalExecutionTime:1067573,JDBCExecutionTime:553392
SearchServletTotalExecutionTime:1100411,JDBCExecutionTime:544598
SearchServletTotalExecutionTime:1078614,JDBCExecutionTime:580775
SearchServletTotalExecutionTime:1154952,JDBCExecutionTime:603414
SearchServletTotalExecutionTime:1123182,JDBCExecutionTime:564157
SearchServletTotalExecutionTime:1078821,JDBCExecutionTime:571499
SearchServletTotalExecutionTime:1049928,JDBCExecutionTime:543340
SearchServletTotalExecutionTime:1048039,JDBCExecutionTime:550261
SearchServletTotalExecutionTime:1665885,JDBCExecutionTime:577779
SearchServletTotalExecutionTime:1032356,JDBCExecutionTime:542889
SearchServletTotalExecutionTime:1096432,JDBCExecutionTime:554405
SearchServletTotalExecutionTime:4541625,JDBCExecutionTime:579632
SearchServletTotalExecutionTime:1027199,JDBCExecutionTime:509031
