
SearchServletTotalExecutionTime:51905004,JDBCExecutionTime:917424
SearchServletTotalExecutionTime:5558101,JDBCExecutionTime:4513168
SearchServletTotalExecutionTime:1782781,JDBCExecutionTime:771052
SearchServletTotalExecutionTime:2128756,JDBCExecutionTime:501531
SearchServletTotalExecutionTime:2316261,JDBCExecutionTime:791199
SearchServletTotalExecutionTime:1322573,JDBCExecutionTime:512754
SearchServletTotalExecutionTime:1123364,JDBCExecutionTime:404745
SearchServletTotalExecutionTime:2305646,JDBCExecutionTime:921485
SearchServletTotalExecutionTime:1378042,JDBCExecutionTime:558324
SearchServletTotalExecutionTime:1460403,JDBCExecutionTime:604873
SearchServletTotalExecutionTime:1124073,JDBCExecutionTime:459434
SearchServletTotalExecutionTime:1194028,JDBCExecutionTime:463431
SearchServletTotalExecutionTime:1138840,JDBCExecutionTime:444859
SearchServletTotalExecutionTime:1377032,JDBCExecutionTime:526746
SearchServletTotalExecutionTime:1028784,JDBCExecutionTime:362405
SearchServletTotalExecutionTime:1285496,JDBCExecutionTime:540793
SearchServletTotalExecutionTime:1539503,JDBCExecutionTime:622462
SearchServletTotalExecutionTime:3618702,JDBCExecutionTime:1671485
SearchServletTotalExecutionTime:1625835,JDBCExecutionTime:873391
SearchServletTotalExecutionTime:1133879,JDBCExecutionTime:430402
SearchServletTotalExecutionTime:1255843,JDBCExecutionTime:521124
SearchServletTotalExecutionTime:2086361,JDBCExecutionTime:1128045
SearchServletTotalExecutionTime:1504936,JDBCExecutionTime:611623
SearchServletTotalExecutionTime:1606667,JDBCExecutionTime:889374
SearchServletTotalExecutionTime:1354288,JDBCExecutionTime:534013
SearchServletTotalExecutionTime:1228284,JDBCExecutionTime:520860
SearchServletTotalExecutionTime:1170662,JDBCExecutionTime:439738
SearchServletTotalExecutionTime:1670817,JDBCExecutionTime:1778293
SearchServletTotalExecutionTime:2968402,JDBCExecutionTime:1778293
SearchServletTotalExecutionTime:1041421,JDBCExecutionTime:390418
SearchServletTotalExecutionTime:1954086,JDBCExecutionTime:1169062
SearchServletTotalExecutionTime:1252953,JDBCExecutionTime:464775
SearchServletTotalExecutionTime:1479709,JDBCExecutionTime:1764692
SearchServletTotalExecutionTime:2781964,JDBCExecutionTime:1764692
SearchServletTotalExecutionTime:928271,JDBCExecutionTime:334327
SearchServletTotalExecutionTime:1301711,JDBCExecutionTime:551348
SearchServletTotalExecutionTime:5157206,JDBCExecutionTime:4347748
SearchServletTotalExecutionTime:1632920,JDBCExecutionTime:1839397
SearchServletTotalExecutionTime:2977202,JDBCExecutionTime:1839397
SearchServletTotalExecutionTime:1052475,JDBCExecutionTime:391056
SearchServletTotalExecutionTime:1141300,JDBCExecutionTime:433967
SearchServletTotalExecutionTime:1170395,JDBCExecutionTime:434598
SearchServletTotalExecutionTime:3577809,JDBCExecutionTime:3528626
SearchServletTotalExecutionTime:4523249,JDBCExecutionTime:3528626
SearchServletTotalExecutionTime:1068873,JDBCExecutionTime:387750
SearchServletTotalExecutionTime:2542009,JDBCExecutionTime:1688887
SearchServletTotalExecutionTime:1234407,JDBCExecutionTime:466772
SearchServletTotalExecutionTime:2264679,JDBCExecutionTime:1505719
SearchServletTotalExecutionTime:13193237,JDBCExecutionTime:12106354
SearchServletTotalExecutionTime:1192715,JDBCExecutionTime:456657
SearchServletTotalExecutionTime:1367160,JDBCExecutionTime:605423
SearchServletTotalExecutionTime:1331775,JDBCExecutionTime:500042
SearchServletTotalExecutionTime:1830831,JDBCExecutionTime:998254
SearchServletTotalExecutionTime:951185,JDBCExecutionTime:346621
SearchServletTotalExecutionTime:1405300,JDBCExecutionTime:618223
SearchServletTotalExecutionTime:1009138,JDBCExecutionTime:392783
SearchServletTotalExecutionTime:1560201,JDBCExecutionTime:692379
SearchServletTotalExecutionTime:1221090,JDBCExecutionTime:460564
SearchServletTotalExecutionTime:1269407,JDBCExecutionTime:422860
SearchServletTotalExecutionTime:1184514,JDBCExecutionTime:447020
SearchServletTotalExecutionTime:1201713,JDBCExecutionTime:507720
SearchServletTotalExecutionTime:1670708,JDBCExecutionTime:411955
SearchServletTotalExecutionTime:1137772,JDBCExecutionTime:424517
SearchServletTotalExecutionTime:1497915,JDBCExecutionTime:736786
SearchServletTotalExecutionTime:1071022,JDBCExecutionTime:407588
SearchServletTotalExecutionTime:2188433,JDBCExecutionTime:640160
SearchServletTotalExecutionTime:2905958,JDBCExecutionTime:2051857
