
SearchServletTotalExecutionTime:1180835,JDBCExecutionTime:576899
SearchServletTotalExecutionTime:1123310,JDBCExecutionTime:546697
SearchServletTotalExecutionTime:1127396,JDBCExecutionTime:579955
SearchServletTotalExecutionTime:1117310,JDBCExecutionTime:583388
SearchServletTotalExecutionTime:1079825,JDBCExecutionTime:562144
SearchServletTotalExecutionTime:1165855,JDBCExecutionTime:583320
SearchServletTotalExecutionTime:1130171,JDBCExecutionTime:556766
SearchServletTotalExecutionTime:1132414,JDBCExecutionTime:584961
SearchServletTotalExecutionTime:1097695,JDBCExecutionTime:566294
SearchServletTotalExecutionTime:1073943,JDBCExecutionTime:532849
SearchServletTotalExecutionTime:1226348,JDBCExecutionTime:573444
SearchServletTotalExecutionTime:1086025,JDBCExecutionTime:557280
SearchServletTotalExecutionTime:1065394,JDBCExecutionTime:551528
SearchServletTotalExecutionTime:1119089,JDBCExecutionTime:591246
SearchServletTotalExecutionTime:1161717,JDBCExecutionTime:621725
SearchServletTotalExecutionTime:1088698,JDBCExecutionTime:549690
SearchServletTotalExecutionTime:1143455,JDBCExecutionTime:576406
SearchServletTotalExecutionTime:1103581,JDBCExecutionTime:550816
SearchServletTotalExecutionTime:1082074,JDBCExecutionTime:561634
SearchServletTotalExecutionTime:1143181,JDBCExecutionTime:628407
SearchServletTotalExecutionTime:1121693,JDBCExecutionTime:568577
SearchServletTotalExecutionTime:1164223,JDBCExecutionTime:578599
SearchServletTotalExecutionTime:1175696,JDBCExecutionTime:642721
SearchServletTotalExecutionTime:1104984,JDBCExecutionTime:578382
SearchServletTotalExecutionTime:1100432,JDBCExecutionTime:564254
SearchServletTotalExecutionTime:1162900,JDBCExecutionTime:576802
SearchServletTotalExecutionTime:1108990,JDBCExecutionTime:551354
SearchServletTotalExecutionTime:1141078,JDBCExecutionTime:546052
SearchServletTotalExecutionTime:1086123,JDBCExecutionTime:559057
SearchServletTotalExecutionTime:1113125,JDBCExecutionTime:562482
SearchServletTotalExecutionTime:1090065,JDBCExecutionTime:567136
SearchServletTotalExecutionTime:1190469,JDBCExecutionTime:602850
SearchServletTotalExecutionTime:1079076,JDBCExecutionTime:564182
SearchServletTotalExecutionTime:1083169,JDBCExecutionTime:554456
SearchServletTotalExecutionTime:1138402,JDBCExecutionTime:587131
SearchServletTotalExecutionTime:1105879,JDBCExecutionTime:547661
SearchServletTotalExecutionTime:1142587,JDBCExecutionTime:579741
SearchServletTotalExecutionTime:1053405,JDBCExecutionTime:550197
SearchServletTotalExecutionTime:1091063,JDBCExecutionTime:565916
SearchServletTotalExecutionTime:1105986,JDBCExecutionTime:570310
SearchServletTotalExecutionTime:1069474,JDBCExecutionTime:552285
SearchServletTotalExecutionTime:1121053,JDBCExecutionTime:533897
SearchServletTotalExecutionTime:1087863,JDBCExecutionTime:556665
SearchServletTotalExecutionTime:1151078,JDBCExecutionTime:600414
SearchServletTotalExecutionTime:1119385,JDBCExecutionTime:583167
SearchServletTotalExecutionTime:1118156,JDBCExecutionTime:562811
SearchServletTotalExecutionTime:1139997,JDBCExecutionTime:562043
SearchServletTotalExecutionTime:1064436,JDBCExecutionTime:559317
SearchServletTotalExecutionTime:1110597,JDBCExecutionTime:559887
SearchServletTotalExecutionTime:1064054,JDBCExecutionTime:548602
SearchServletTotalExecutionTime:1096053,JDBCExecutionTime:569863
SearchServletTotalExecutionTime:1119015,JDBCExecutionTime:555973
SearchServletTotalExecutionTime:1089840,JDBCExecutionTime:586707
SearchServletTotalExecutionTime:1005251,JDBCExecutionTime:537161
SearchServletTotalExecutionTime:1040475,JDBCExecutionTime:536281
