
SearchServletTotalExecutionTime:50700796,JDBCExecutionTime:955588
SearchServletTotalExecutionTime:1928406,JDBCExecutionTime:600260
SearchServletTotalExecutionTime:1998395,JDBCExecutionTime:1075266
SearchServletTotalExecutionTime:2214488,JDBCExecutionTime:456414
SearchServletTotalExecutionTime:3604493,JDBCExecutionTime:682527
SearchServletTotalExecutionTime:1565778,JDBCExecutionTime:617145
SearchServletTotalExecutionTime:1224332,JDBCExecutionTime:360838
SearchServletTotalExecutionTime:3580364,JDBCExecutionTime:1365417
SearchServletTotalExecutionTime:1974705,JDBCExecutionTime:760766
SearchServletTotalExecutionTime:1226364,JDBCExecutionTime:469484
SearchServletTotalExecutionTime:3966201,JDBCExecutionTime:709828
SearchServletTotalExecutionTime:1723555,JDBCExecutionTime:655837
SearchServletTotalExecutionTime:1253960,JDBCExecutionTime:492491
SearchServletTotalExecutionTime:2342688,JDBCExecutionTime:645568
SearchServletTotalExecutionTime:38032850,JDBCExecutionTime:36245370
SearchServletTotalExecutionTime:4369474,JDBCExecutionTime:508057
SearchServletTotalExecutionTime:1355036,JDBCExecutionTime:576627
SearchServletTotalExecutionTime:1599711,JDBCExecutionTime:722877
SearchServletTotalExecutionTime:1223643,JDBCExecutionTime:453134
SearchServletTotalExecutionTime:1357350,JDBCExecutionTime:552341
SearchServletTotalExecutionTime:1360455,JDBCExecutionTime:572795
SearchServletTotalExecutionTime:1732240,JDBCExecutionTime:940096
SearchServletTotalExecutionTime:1481894,JDBCExecutionTime:636467
SearchServletTotalExecutionTime:1155084,JDBCExecutionTime:444376
SearchServletTotalExecutionTime:1496828,JDBCExecutionTime:641498
SearchServletTotalExecutionTime:2189063,JDBCExecutionTime:1223623
SearchServletTotalExecutionTime:2288789,JDBCExecutionTime:425042
SearchServletTotalExecutionTime:1572494,JDBCExecutionTime:603813
SearchServletTotalExecutionTime:1017785,JDBCExecutionTime:401579
SearchServletTotalExecutionTime:1305249,JDBCExecutionTime:450252
SearchServletTotalExecutionTime:4298800,JDBCExecutionTime:3276744
SearchServletTotalExecutionTime:1646229,JDBCExecutionTime:663929
SearchServletTotalExecutionTime:1588908,JDBCExecutionTime:713211
SearchServletTotalExecutionTime:2022730,JDBCExecutionTime:1143625
SearchServletTotalExecutionTime:1369962,JDBCExecutionTime:601158
SearchServletTotalExecutionTime:1600619,JDBCExecutionTime:714944
SearchServletTotalExecutionTime:1062212,JDBCExecutionTime:374734
SearchServletTotalExecutionTime:1267382,JDBCExecutionTime:513153
SearchServletTotalExecutionTime:1100695,JDBCExecutionTime:420859
SearchServletTotalExecutionTime:1233689,JDBCExecutionTime:493683
SearchServletTotalExecutionTime:1408332,JDBCExecutionTime:586748
SearchServletTotalExecutionTime:1756245,JDBCExecutionTime:1036715
SearchServletTotalExecutionTime:8499967,JDBCExecutionTime:3083988
SearchServletTotalExecutionTime:8022066,JDBCExecutionTime:3083988
SearchServletTotalExecutionTime:1605604,JDBCExecutionTime:684946
SearchServletTotalExecutionTime:1478260,JDBCExecutionTime:654578
SearchServletTotalExecutionTime:1395006,JDBCExecutionTime:612690
SearchServletTotalExecutionTime:1181393,JDBCExecutionTime:450007
SearchServletTotalExecutionTime:1133959,JDBCExecutionTime:431509
SearchServletTotalExecutionTime:1243276,JDBCExecutionTime:489943
SearchServletTotalExecutionTime:1020939,JDBCExecutionTime:364148
SearchServletTotalExecutionTime:1449142,JDBCExecutionTime:604275
SearchServletTotalExecutionTime:1302242,JDBCExecutionTime:462269
SearchServletTotalExecutionTime:3185031,JDBCExecutionTime:2351646
SearchServletTotalExecutionTime:1440129,JDBCExecutionTime:648639
SearchServletTotalExecutionTime:60700578,JDBCExecutionTime:648639
SearchServletTotalExecutionTime:1337200,JDBCExecutionTime:367987
SearchServletTotalExecutionTime:1391290,JDBCExecutionTime:332688
SearchServletTotalExecutionTime:1339840,JDBCExecutionTime:353620
SearchServletTotalExecutionTime:1381521,JDBCExecutionTime:569459
SearchServletTotalExecutionTime:1233231,JDBCExecutionTime:508304
SearchServletTotalExecutionTime:1858384,JDBCExecutionTime:1059526
SearchServletTotalExecutionTime:1746678,JDBCExecutionTime:970816
SearchServletTotalExecutionTime:2747086,JDBCExecutionTime:1676454
SearchServletTotalExecutionTime:1112838,JDBCExecutionTime:460080
SearchServletTotalExecutionTime:2316255,JDBCExecutionTime:741971
SearchServletTotalExecutionTime:1052320,JDBCExecutionTime:395481
SearchServletTotalExecutionTime:2036655,JDBCExecutionTime:459472
SearchServletTotalExecutionTime:1134641,JDBCExecutionTime:426726
SearchServletTotalExecutionTime:1624055,JDBCExecutionTime:442149
SearchServletTotalExecutionTime:1644405,JDBCExecutionTime:725412
SearchServletTotalExecutionTime:1103924,JDBCExecutionTime:453591
SearchServletTotalExecutionTime:3544696,JDBCExecutionTime:1629488
SearchServletTotalExecutionTime:1298563,JDBCExecutionTime:556030
SearchServletTotalExecutionTime:2633331,JDBCExecutionTime:1976637
SearchServletTotalExecutionTime:1273355,JDBCExecutionTime:485405
SearchServletTotalExecutionTime:3200121,JDBCExecutionTime:2292722
SearchServletTotalExecutionTime:1119449,JDBCExecutionTime:458844
