
SearchServletTotalExecutionTime:1146509,JDBCExecutionTime:595539
SearchServletTotalExecutionTime:1105864,JDBCExecutionTime:602647
SearchServletTotalExecutionTime:1032407,JDBCExecutionTime:506786
SearchServletTotalExecutionTime:1224266,JDBCExecutionTime:664603
SearchServletTotalExecutionTime:835923,JDBCExecutionTime:392454
SearchServletTotalExecutionTime:943248,JDBCExecutionTime:408697
SearchServletTotalExecutionTime:976845,JDBCExecutionTime:433072
SearchServletTotalExecutionTime:823302,JDBCExecutionTime:385870
SearchServletTotalExecutionTime:1036028,JDBCExecutionTime:504706
SearchServletTotalExecutionTime:804312,JDBCExecutionTime:339000
SearchServletTotalExecutionTime:992471,JDBCExecutionTime:426104
SearchServletTotalExecutionTime:874450,JDBCExecutionTime:376823
SearchServletTotalExecutionTime:1180640,JDBCExecutionTime:611190
SearchServletTotalExecutionTime:3143213,JDBCExecutionTime:2376088
SearchServletTotalExecutionTime:3062468,JDBCExecutionTime:1495786
SearchServletTotalExecutionTime:22251694,JDBCExecutionTime:20909660
SearchServletTotalExecutionTime:1190247,JDBCExecutionTime:606388
SearchServletTotalExecutionTime:1002322,JDBCExecutionTime:575432
SearchServletTotalExecutionTime:2238946,JDBCExecutionTime:1615269
SearchServletTotalExecutionTime:946002,JDBCExecutionTime:426232
SearchServletTotalExecutionTime:951569,JDBCExecutionTime:439779
SearchServletTotalExecutionTime:1025890,JDBCExecutionTime:520611
SearchServletTotalExecutionTime:2208984,JDBCExecutionTime:1680197
SearchServletTotalExecutionTime:857524,JDBCExecutionTime:382859
SearchServletTotalExecutionTime:791805,JDBCExecutionTime:360193
SearchServletTotalExecutionTime:1085501,JDBCExecutionTime:519560
SearchServletTotalExecutionTime:1278926,JDBCExecutionTime:812143
SearchServletTotalExecutionTime:2237448,JDBCExecutionTime:1800948
SearchServletTotalExecutionTime:888380,JDBCExecutionTime:353048
SearchServletTotalExecutionTime:777856,JDBCExecutionTime:337801
SearchServletTotalExecutionTime:1044428,JDBCExecutionTime:508420
SearchServletTotalExecutionTime:973118,JDBCExecutionTime:409356
SearchServletTotalExecutionTime:1054810,JDBCExecutionTime:453101
SearchServletTotalExecutionTime:853672,JDBCExecutionTime:388442
SearchServletTotalExecutionTime:661162,JDBCExecutionTime:288314
