
SearchServletTotalExecutionTime:1118531,JDBCExecutionTime:565540
SearchServletTotalExecutionTime:1100917,JDBCExecutionTime:564279
SearchServletTotalExecutionTime:1142105,JDBCExecutionTime:584011
SearchServletTotalExecutionTime:1085103,JDBCExecutionTime:572798
SearchServletTotalExecutionTime:1047422,JDBCExecutionTime:542016
SearchServletTotalExecutionTime:1154079,JDBCExecutionTime:591934
SearchServletTotalExecutionTime:1072530,JDBCExecutionTime:561696
SearchServletTotalExecutionTime:1114467,JDBCExecutionTime:568617
SearchServletTotalExecutionTime:1077580,JDBCExecutionTime:548230
SearchServletTotalExecutionTime:1096081,JDBCExecutionTime:572182
SearchServletTotalExecutionTime:1122399,JDBCExecutionTime:558814
SearchServletTotalExecutionTime:1161938,JDBCExecutionTime:637414
SearchServletTotalExecutionTime:1158938,JDBCExecutionTime:589769
SearchServletTotalExecutionTime:1085856,JDBCExecutionTime:572652
SearchServletTotalExecutionTime:1128289,JDBCExecutionTime:551246
SearchServletTotalExecutionTime:1096313,JDBCExecutionTime:559077
SearchServletTotalExecutionTime:1092614,JDBCExecutionTime:550738
SearchServletTotalExecutionTime:1158642,JDBCExecutionTime:601820
SearchServletTotalExecutionTime:1138239,JDBCExecutionTime:583834
SearchServletTotalExecutionTime:1074295,JDBCExecutionTime:569671
SearchServletTotalExecutionTime:1147189,JDBCExecutionTime:589898
SearchServletTotalExecutionTime:1162633,JDBCExecutionTime:580411
SearchServletTotalExecutionTime:1116806,JDBCExecutionTime:588775
SearchServletTotalExecutionTime:1066532,JDBCExecutionTime:550146
SearchServletTotalExecutionTime:1107336,JDBCExecutionTime:559636
SearchServletTotalExecutionTime:1110625,JDBCExecutionTime:591409
SearchServletTotalExecutionTime:1114233,JDBCExecutionTime:563072
SearchServletTotalExecutionTime:1191767,JDBCExecutionTime:615682
SearchServletTotalExecutionTime:1036000,JDBCExecutionTime:530474
SearchServletTotalExecutionTime:1157035,JDBCExecutionTime:606754
SearchServletTotalExecutionTime:1078750,JDBCExecutionTime:544494
SearchServletTotalExecutionTime:1182716,JDBCExecutionTime:560027
SearchServletTotalExecutionTime:1119283,JDBCExecutionTime:560003
SearchServletTotalExecutionTime:1148596,JDBCExecutionTime:594648
SearchServletTotalExecutionTime:1107437,JDBCExecutionTime:571039
SearchServletTotalExecutionTime:1104150,JDBCExecutionTime:580765
SearchServletTotalExecutionTime:1119616,JDBCExecutionTime:575554
SearchServletTotalExecutionTime:1137224,JDBCExecutionTime:576625
SearchServletTotalExecutionTime:1051979,JDBCExecutionTime:551434
SearchServletTotalExecutionTime:1090935,JDBCExecutionTime:573724
SearchServletTotalExecutionTime:1102511,JDBCExecutionTime:563106
SearchServletTotalExecutionTime:1120368,JDBCExecutionTime:575661
SearchServletTotalExecutionTime:1165374,JDBCExecutionTime:545125
SearchServletTotalExecutionTime:1066837,JDBCExecutionTime:545755
SearchServletTotalExecutionTime:1123334,JDBCExecutionTime:597116
SearchServletTotalExecutionTime:1044243,JDBCExecutionTime:535327
SearchServletTotalExecutionTime:1096916,JDBCExecutionTime:548222
SearchServletTotalExecutionTime:1120107,JDBCExecutionTime:538290
SearchServletTotalExecutionTime:1072724,JDBCExecutionTime:538146
SearchServletTotalExecutionTime:1083440,JDBCExecutionTime:562361
SearchServletTotalExecutionTime:1085422,JDBCExecutionTime:561855
SearchServletTotalExecutionTime:1138431,JDBCExecutionTime:532510
SearchServletTotalExecutionTime:1047715,JDBCExecutionTime:493313
SearchServletTotalExecutionTime:1090170,JDBCExecutionTime:566999
SearchServletTotalExecutionTime:1171543,JDBCExecutionTime:562876
SearchServletTotalExecutionTime:1163639,JDBCExecutionTime:570989
SearchServletTotalExecutionTime:1151661,JDBCExecutionTime:557322
SearchServletTotalExecutionTime:1159760,JDBCExecutionTime:578854
SearchServletTotalExecutionTime:1167558,JDBCExecutionTime:604179
SearchServletTotalExecutionTime:1136232,JDBCExecutionTime:540416
SearchServletTotalExecutionTime:1094092,JDBCExecutionTime:561044
SearchServletTotalExecutionTime:1052669,JDBCExecutionTime:580302
SearchServletTotalExecutionTime:1126217,JDBCExecutionTime:561311
SearchServletTotalExecutionTime:1134083,JDBCExecutionTime:590874
SearchServletTotalExecutionTime:1116199,JDBCExecutionTime:583842
SearchServletTotalExecutionTime:1178113,JDBCExecutionTime:568949
SearchServletTotalExecutionTime:1129168,JDBCExecutionTime:614412
SearchServletTotalExecutionTime:1110562,JDBCExecutionTime:582459
SearchServletTotalExecutionTime:1115865,JDBCExecutionTime:616854
SearchServletTotalExecutionTime:1185920,JDBCExecutionTime:563269
SearchServletTotalExecutionTime:1152204,JDBCExecutionTime:589876
SearchServletTotalExecutionTime:1078658,JDBCExecutionTime:555762
SearchServletTotalExecutionTime:1071997,JDBCExecutionTime:579155
SearchServletTotalExecutionTime:1160103,JDBCExecutionTime:585847
SearchServletTotalExecutionTime:1069854,JDBCExecutionTime:562368
SearchServletTotalExecutionTime:1166165,JDBCExecutionTime:609726
SearchServletTotalExecutionTime:1065620,JDBCExecutionTime:568651
SearchServletTotalExecutionTime:1073720,JDBCExecutionTime:566393
SearchServletTotalExecutionTime:1113438,JDBCExecutionTime:554551
SearchServletTotalExecutionTime:1141508,JDBCExecutionTime:590374
SearchServletTotalExecutionTime:1181351,JDBCExecutionTime:607498
SearchServletTotalExecutionTime:1130708,JDBCExecutionTime:584747
